peak_id,n_points,Vmax_area_MM,Vmax_area_MM_std,Vmax_per_hour,Vmax_per_sec,Vmax_per_sec_std,Km,Km_std,R2,kcat_per_sec,kcat_per_sec_std,kcat_over_km_per_sec_per_um,kcat_over_km_std,Vmax_area_LB,Km_LB,kcat_per_sec_LB,R2_LB,min_conc,max_conc,min_area,max_area
HTAL,5,316.19094659084436,6.754781063455064,105.39698219694812,0.029276939499152256,0.000625442691060654,0.16881673753854023,0.009216509203495822,0.7530146502452275,0.0023899542448287555,5.105654620903298e-05,0.01415709294988086,0.0008299685202588518,468.7714046152023,0.5093949886724876,0.0035432456887014535,0.8993092369966461,0.1,3.0,70.972,297.765
OLA,5,1108.521547684338,15.389257411526392,369.507182561446,0.10264088404484611,0.0014249312418079993,0.10688844330381256,0.004983053926915133,0.7425634655408556,0.008378847677130295,0.0001163209176986122,0.07838871460888264,0.003813011913036544,1320.9671089719848,0.20661517274001845,0.009984634232592477,0.874402230430164,0.1,3.0,400.377,1106.351
OLV,5,219.985,inf,73.32833333333333,0.020368981481481484,inf,0.5,inf,0.15415084459963502,0.0016627739984882844,inf,0.003325547996976569,inf,,,,,0.1,3.0,0.0,219.985
PDAL,5,2941.748912349822,46.067437692227955,980.582970783274,0.27238415855090947,0.0042655034900211065,0.09706154282023693,0.007782717607801493,0.1910645757759094,0.022235441514359956,0.0003482043665323352,0.22908600943569543,0.018715917721385096,5183.476625339106,0.3971554079006354,0.03917971750067352,0.8383960120117503,0.1,3.0,969.469,4650.740000000001
VOID_PEAK,5,229.2722530084194,4.343560971700903,76.4240843361398,0.02122891231559439,0.00040218157145378733,-0.08696748696286308,0.00028764460437052963,0.7494630772062545,0.0017329724339260727,3.283114869010509e-05,,,234.27707247692422,-0.09930726594573393,0.0017708017571951944,0.8504595864615971,0.1,3.0,226.267,1757.0796666666663
