peak_id,n_points,Vmax_MM,Vmax_MM_std,Km_MM,Km_MM_std,R2_MM,Vmax_LB,Km_LB,R2_LB,LB_slope,LB_intercept,min_conc,max_conc,min_velocity,max_velocity
HTAL,5,316.19094659084436,6.754781063455064,0.16881673753854023,0.009216509203495822,0.7530146502452275,468.7714046152023,0.5093949886724876,0.8993092369966461,0.0010866596888319834,0.0021332359229993226,0.1,3.0,70.972,297.765
OLA,5,1108.521547684338,15.389257411526392,0.10688844330381256,0.004983053926915133,0.7425634655408556,1320.9671089719848,0.20661517274001845,0.874402230430164,0.00015641204942703867,0.0007570211197599229,0.1,3.0,400.377,1106.351
OLV,5,219.985,inf,0.5,inf,0.15415084459963502,,,,,,0.1,3.0,0.0,219.985
PDAL,5,2941.748912349822,46.067437692227955,0.09706154282023693,0.007782717607801493,0.1910645757759094,5183.476625339106,0.3971554079006354,0.8383960120117503,7.661950397522113e-05,0.00019292071176930974,0.1,3.0,969.469,4650.740000000001
VOID_PEAK,5,229.2722530084194,4.343560971700903,-0.08696748696286308,0.00028764460437052963,0.7494630772062545,234.27707247692422,-0.09930726594573393,0.8504595864615971,-0.00042388811203672303,0.004268450127993203,0.1,3.0,226.267,1757.0796666666663
