peak_id,n_points,Vmax_MM,Vmax_MM_std,Km_MM,Km_MM_std,R2_MM,kcat_MM,kcat_MM_std,kcat_over_km_MM,kcat_over_km_MM_std,Vmax_LB,Km_LB,R2_LB,kcat_LB,min_conc,max_conc,min_velocity,max_velocity
HTAL,5,316.19094659084436,6.754781063455064,0.16881673753854023,0.009216509203495822,0.7530146502452275,25.81150584415056,0.5514106990575562,152.8966038587133,8.963660018795599,468.7714046152023,0.5093949886724876,0.8993092369966461,38.2670534379757,0.1,3.0,70.972,297.765
OLA,5,1108.521547684338,15.389257411526392,0.10688844330381256,0.004983053926915133,0.7425634655408556,90.49155491300718,1.2562659111450116,846.5981177759325,41.18052866079468,1320.9671089719848,0.20661517274001845,0.874402230430164,107.83404971199876,0.1,3.0,400.377,1106.351
OLV,5,219.985,inf,0.5,inf,0.15415084459963502,17.95795918367347,inf,35.91591836734694,inf,,,,,0.1,3.0,0.0,219.985
PDAL,5,2941.748912349822,46.067437692227955,0.09706154282023693,0.007782717607801493,0.1910645757759094,240.14276835508753,3.7606071585492207,2474.1289019055107,202.13191139095903,5183.476625339106,0.3971554079006354,0.8383960120117503,423.140949007274,0.1,3.0,969.469,4650.740000000001
VOID_PEAK,5,229.2722530084194,4.343560971700903,-0.08696748696286308,0.00028764460437052963,0.7494630772062545,18.716102286401583,0.35457640585313493,,,234.27707247692422,-0.09930726594573393,0.8504595864615971,19.124658977708098,0.1,3.0,226.267,1757.0796666666663
